,Name,Latitude,Longitude,geometry
0,Andaman and Nicobar Islands,12.61123865,92.83165406414926,POINT (92.83165406414926 12.61123865)
1,Andhra Pradesh,15.9240905,80.1863809,POINT (80.1863809 15.9240905)
2,Arunachal Pradesh,28.0937702,94.5921326,POINT (94.5921326 28.0937702)
3,Assam,26.4073841,93.2551303,POINT (93.2551303 26.4073841)
4,Bihar,25.6440845,85.906508,POINT (85.906508 25.6440845)
5,Chandigarh,30.7334421,76.7797143,POINT (76.77971429999999 30.7334421)
6,Chhattisgarh,21.6637359,81.8406351,POINT (81.8406351 21.6637359)
7,Dadra and Nagar Haveli and Daman and Diu,20.718174949999998,70.93238341010638,POINT (70.93238341010638 20.71817495)
8,Delhi,28.6517178,77.2219388,POINT (77.2219388 28.6517178)
9,Goa,15.3004543,74.0855134,POINT (74.0855134 15.3004543)
10,Gujarat,22.41540825,72.03149703699282,POINT (72.03149703699282 22.41540825)
11,Haryana,29.0,76.0,POINT (76 29)
12,Himachal Pradesh,31.81676015,77.34932051968858,POINT (77.34932051968858 31.81676015)
13,Jammu and Kashmir,33.6649297,75.1629584,POINT (75.16295839999999 33.6649297)
14,Jharkhand,23.4559809,85.2557301,POINT (85.25573009999999 23.4559809)
15,Karnataka,14.5203896,75.7223521,POINT (75.72235209999999 14.5203896)
16,Kerala,10.3528744,76.5120396,POINT (76.51203959999999 10.3528744)
17,Ladakh,33.9456407,77.6568576,POINT (77.6568576 33.9456407)
18,Lakshadweep,10.8132489,73.6804620941119,POINT (73.6804620941119 10.8132489)
19,Madhya Pradesh,23.8143419,77.5340719,POINT (77.5340719 23.8143419)
20,Maharashtra,18.9068356,75.6741579,POINT (75.6741579 18.9068356)
21,Manipur,24.7208818,93.9229386,POINT (93.92293859999999 24.7208818)
22,Meghalaya,25.5379432,91.2999102,POINT (91.2999102 25.5379432)
23,Mizoram,23.2146169,92.8687612,POINT (92.86876119999999 23.2146169)
24,Nagaland,26.1630556,94.5884911,POINT (94.5884911 26.1630556)
25,Odisha,20.5431241,84.6897321,POINT (84.6897321 20.5431241)
26,Puducherry,11.9340568,79.8306447,POINT (79.83064469999999 11.9340568)
27,Punjab,30.9293211,75.5004841,POINT (75.50048409999999 30.9293211)
28,Rajasthan,26.8105777,73.7684549,POINT (73.76845489999999 26.8105777)
29,Sikkim,27.601029,88.45413638680145,POINT (88.45413638680145 27.601029)
30,Tamil Nadu,10.9094334,78.3665347,POINT (78.3665347 10.9094334)
31,Telangana,17.8495919,79.1151663,POINT (79.1151663 17.8495919)
32,Tripura,23.7750823,91.7025091,POINT (91.7025091 23.7750823)
33,Uttarakhand,30.0417376,79.089691,POINT (79.089691 30.0417376)
34,Uttar Pradesh,27.1303344,80.859666,POINT (80.859666 27.1303344)
35,West Bengal,22.9964948,87.6855882,POINT (87.6855882 22.9964948)
